name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
autoPrice.arff,1,0.9946969,0.9456061,0.9469697,0.9537879,0.9562575,0.9981818,0.9965151,0.9619696,0.9433333,0.9516667,0.9433333
autos.arff,0.8335949,0.7693485,0.8625458,0.904147,0.7460099,0.8381934,0.9036238,0.7964677,0.8729461,0.8113553,0.8375457,0.8113553
backache.arff,0.6833682,0.5,0.6035417,0.542257,0.570625,0.5480209,0.6455556,0.699375,0.5588889,0.5575,0.57875,0.5575
badges2.arff,1,1,1,1,1,0.997619,1,1,1,1,1,1
balance-scale.arff,0.9713464,0.9941552,0.9808047,0.8243953,0.8828814,0.9820208,0.9813948,0.9941552,0.896197,0.9203713,0.9496125,0.9203713
balloon.arff,0.9723264,0.9552082,0.9875381,0.9886493,0.9804631,0.9749446,0.9749321,0.888077,0.9890427,0.8054255,0.8784228,0.8054255
bank32nh.arff,0.8386804,0.804421,0.5452227,0.6895514,0.7544897,0.8901661,0.8854252,0.8640207,0.8271312,0.7572813,0.7659711,0.7572813
bank8FM.arff,0.962271,0.976544,0.7290223,0.9426744,0.9421966,0.9892162,0.9885128,0.9740329,0.96831,0.9368932,0.9389851,0.9368932
baskball.arff,0.793,0.739,0.61,0.657,0.73,0.802,0.713,0.738,0.6655,0.7025,0.7125,0.7025
biomed.arff,0.9375392,0.9514325,0.8581043,0.8914738,0.8780122,0.9309655,0.9312795,0.9513736,0.8865778,0.852129,0.8301509,0.852129
bodyfat.arff,0.9961538,0.9193785,0.8621794,0.9961538,0.9961538,0.9892505,0.995069,0.9073965,0.9961538,0.9413461,0.9528846,0.9413461
bolts.arff,0.9875,0.95,0.7666666,0.8916666,0.925,0.925,0.9,0.9166667,0.875,0.7916666,0.8666666,0.7916666
boston.arff,0.9183369,0.8511259,0.8092447,0.8779351,0.8665835,0.9297548,0.9278127,0.8683505,0.8789696,0.8530542,0.8641255,0.8530542
boston_corrected.arff,0.9216086,0.8180758,0.8046635,0.8346452,0.8613629,0.8949669,0.9365316,0.9124187,0.888898,0.8661488,0.8647344,0.8661488
breast-cancer.arff,0.7157541,0.6443155,0.63123,0.6280556,0.602257,0.66625,0.6939089,0.7154267,0.6188987,0.5809128,0.5982738,0.5809128
breastTumor.arff,0.9890323,0.9879237,0.9751189,0.9484682,0.9536178,0.9929952,0.9926451,0.9879116,0.9627608,0.968384,0.9652138,0.968384
breast-w.arff,0.6378983,0.6448531,0.4594516,0.5590074,0.590196,0.6418506,0.6516543,0.6745406,0.5995098,0.6351103,0.5968137,0.6351103
bridges.arff,0.908631,0.9284524,0.7786905,0.7442262,0.8166072,0.8839286,0.9432143,0.9351191,0.5,0.7822618,0.8072618,0.7822618
cal_housing.arff,0.880069,0.8152563,0.8171711,0.9087467,0.8695675,0.9181304,0.9173027,0.8388281,0.9221191,0.8283643,0.8350629,0.8283643
car.arff,0.8966941,0.9898118,0.9997763,0.9819023,0.9640609,0.9913042,0.9870721,0.9898118,0.985853,0.9404106,0.9474573,0.9404106
cars.arff,0.9437896,0.5856686,0.8655191,0.8757167,0.9152743,0.7263871,0.8479438,0.896104,0.7738173,0.8876058,0.8881955,0.8876058
chatfield_4.arff,0.9476851,0.9390475,0.8160317,0.9074072,0.8981745,0.9683862,0.9633068,0.9390474,0.8783331,0.8479365,0.8821427,0.8479365
cholesterol.arff,0.5701377,0.5768908,0.5067852,0.5609668,0.5435228,0.6081124,0.6299663,0.5886736,0.4860022,0.5648957,0.5592518,0.5648957
chscase_adopt.arff,0.7333334,0.75,0.7166666,0.6749999,0.7416666,0.8,0.8333334,0.75,0.5,0.5083333,0.5333333,0.5083333
chscase_census2.arff,0.4918593,0.5067318,0.5425439,0.4823599,0.5018605,0.5045827,0.5376203,0.4845351,0.5191143,0.475802,0.4797055,0.475802
chscase_census3.arff,0.4555426,0.4788384,0.4968796,0.5,0.4714349,0.4970237,0.543586,0.476701,0.4954927,0.492124,0.4860087,0.492124
chscase_census5.arff,0.5186417,0.4677945,0.5243045,0.5,0.4959802,0.4570615,0.4382864,0.4597902,0.49511,0.4733458,0.4900061,0.4733458
chscase_census6.arff,0.4476919,0.4740079,0.5000345,0.5,0.4455908,0.4539376,0.4416759,0.4600577,0.5048727,0.5,0.4979167,0.5
chscase_funds.arff,0.6613117,0.6658641,0.5866666,0.6552469,0.6493056,0.6941665,0.6699845,0.6669753,0.5,0.6344444,0.6375001,0.6344444
