name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
AP_Uterus_Kidney.arff,0.9961538,0.9705128,0.9621795,0.9659023,0.9713017,0.9793146,0.8284394,0.9746794,0.9525639,0.9961538,0.9903845,0.9785256
ar1.arff,0.6185606,0.45,0.6750001,0.5863636,0.4363636,0.456818,0.609091,0.6,0.45,0.6598486,0.4454545,0.4454545
ar4.arff,0.8618055,0.6472222,0.6027776,0.6645834,0.6666665,0.6756945,0.8166666,0.8,0.6083333,0.8124998,0.6576388,0.6388888
ar5.arff,0.6666666,0.6166667,0.5666666,0.6333333,0.6833333,0.6,0.7333334,0.7333334,0.5,0.7,0.6666666,0.6166666
ar6.arff,0.5538195,0.4996528,0.6545139,0.5114583,0.5201388,0.7152779,0.7499999,0.6638889,0.5381944,0.6805555,0.675,0.575
arsenic-female-bladder.arff,0.7824135,0.8198361,0.6404919,0.5,0.5510416,0.8052028,0.7897165,0.8603419,0.6931517,0.7621566,0.5666666,0.5666666
arsenic-female-lung.arff,0.938426,0.8231482,0.8953705,0.5,0.85,0.8333334,0.8796297,0.8680557,0.8930555,0.8916666,0.85,0.85
arsenic-male-bladder.arff,0.9058613,0.8447066,0.7934312,0.5,0.7583333,0.8166317,0.8689553,0.8663085,0.838854,0.8654786,0.7583333,0.7583333
arsenic-male-lung.arff,0.95,1,1,0.5,0.95,1,1,1,0.925,1,1,1
audiology.arff,0.9818995,0.4882352,0.9625489,0.9768627,0.944902,0.8870526,0.9880392,0.9679779,0.9750979,0.9929411,0.9459927,0.9378432
Australian.arff,0.9195898,0.8547351,0.8027892,0.8797432,0.8027892,0.9325723,0.9289294,0.8210811,0.8924878,0.9285778,0.8591045,0.8620608
