name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
fri_c1_1000_5.arff,0.8632003,0.7227053,0.8702254,0.8934079,0.8976062,0.7035977,0.7019098,0.7226253,0.8986065,0.9793672,0.6224272,0.6226556
fri_c1_1000_50.arff,0.8970583,0.7302001,0.5739468,0.8593581,0.8554844,0.7161445,0.6955955,0.7393963,0.8902002,0.941583,0.6500505,0.6656705
fri_c1_250_10.arff,0.9025973,0.7428572,0.6951299,0.8610389,0.834091,0.7435065,0.7246752,0.7428572,0.845779,0.9623377,0.6857143,0.6967532
fri_c1_250_25.arff,0.8425931,0.6605714,0.5660605,0.8887186,0.8428484,0.6300173,0.608013,0.6599221,0.8349177,0.9489956,0.5501947,0.5671861
fri_c1_250_5.arff,0.9406386,0.7604812,0.8434398,0.8533008,0.8822803,0.7431401,0.6931651,0.7611222,0.8707959,0.9768731,0.6739553,0.6784425
fri_c1_250_50.arff,0.9364801,0.7547204,0.586526,0.8640069,0.816342,0.7003746,0.6528554,0.7547203,0.8662045,0.9355603,0.5986098,0.6156635
fri_c1_500_10.arff,0.9019166,0.7286242,0.697315,0.8809396,0.8574036,0.7281607,0.7078331,0.7331318,0.8883582,0.9698344,0.6604498,0.6646031
fri_c1_500_25.arff,0.8971642,0.7405463,0.5896848,0.7895163,0.8333884,0.7204596,0.7053358,0.7408676,0.855131,0.9454183,0.653066,0.6756418
fri_c1_500_5.arff,0.8869177,0.735772,0.82969,0.8769389,0.8860505,0.7284226,0.700905,0.7348074,0.8834317,0.9555648,0.6888781,0.6962515
fri_c1_500_50.arff,0.8814326,0.6691642,0.559713,0.8083769,0.8484565,0.6648403,0.6566601,0.6694871,0.878801,0.9039532,0.602781,0.6213854
fri_c2_100_10.arff,0.8295833,0.7853333,0.6241667,0.7258333,0.7514999,0.7765,0.8061667,0.7853333,0.74525,0.9028333,0.7025,0.7083334
fri_c2_100_25.arff,0.8096665,0.8021666,0.5424999,0.7621666,0.8144167,0.6628334,0.7076666,0.8021666,0.7696667,0.9136667,0.7016666,0.7225
fri_c2_100_5.arff,0.8208333,0.7499999,0.7791666,0.7562499,0.75,0.7083332,0.7375001,0.7499999,0.7333332,0.8979167,0.7583335,0.7500001
fri_c2_100_50.arff,0.88575,0.7803332,0.6158333,0.81325,0.8208334,0.6080833,0.664,0.7844999,0.7966667,0.9354166,0.6291667,0.5983333
